iter	Passed	Remaining
411	3540	5052
412	3549	5044
413	3558	5036
414	3566	5027
415	3575	5018
416	3582	5009
417	3590	4999
418	3598	4990
419	3607	4981
420	3615	4971
421	3624	4964
422	3632	4954
423	3640	4945
424	3648	4936
425	3658	4929
426	3666	4920
427	3675	4912
428	3683	4902
429	3690	4892
430	3700	4884
431	3708	4875
432	3717	4867
433	3724	4857
434	3733	4849
435	3742	4841
436	3751	4832
437	3760	4824
438	3769	4817
439	3777	4807
440	3785	4798
441	3793	4788
442	3802	4780
443	3809	4770
444	3818	4762
445	3826	4752
446	3835	4744
447	3843	4735
448	3851	4726
449	3859	4716
450	3867	4708
451	3874	4697
452	3882	4688
453	3891	4680
454	3899	4670
455	3907	4661
456	3915	4652
457	3923	4642
458	3931	4633
459	3938	4623
460	3946	4614
461	3953	4603
462	3962	4595
463	3970	4586
464	3978	4577
465	3986	4568
466	3994	4559
467	4002	4549
468	4009	4539
469	4018	4531
470	4026	4522
471	4034	4513
472	4041	4503
473	4050	4494
474	4057	4484
475	4066	4476
476	4073	4466
477	4081	4457
478	4089	4448
479	4097	4438
480	4105	4429
481	4112	4420
482	4121	4411
483	4129	4402
484	4138	4394
485	4146	4385
486	4154	4376
487	4163	4368
488	4171	4358
489	4178	4349
490	4186	4340
491	4194	4331
492	4201	4321
493	4211	4313
494	4220	4305
495	4227	4296
496	4235	4286
497	4243	4277
498	4251	4268
499	4260	4260
500	4267	4250
501	4274	4240
502	4282	4231
503	4290	4222
504	4298	4213
505	4306	4204
506	4315	4196
507	4323	4187
508	4331	4178
509	4339	4169
510	4347	4160
511	4356	4151
512	4364	4142
513	4371	4133
514	4379	4124
515	4388	4116
516	4396	4107
517	4404	4098
518	4413	4090
519	4422	4082
520	4430	4073
521	4438	4064
522	4446	4055
523	4454	4046
524	4462	4037
525	4470	4028
526	4478	4019
527	4486	4010
528	4494	4001
529	4502	3992
530	4510	3983
531	4518	3974
532	4525	3965
533	4534	3956
534	4541	3946
535	4548	3937
536	4556	3928
537	4564	3919
538	4571	3910
539	4580	3901
540	4587	3892
541	4595	3883
542	4603	3874
543	4611	3865
544	4618	3856
545	4627	3847
546	4635	3838
547	4643	3829
548	4650	3820
549	4658	3811
550	4665	3801
551	4672	3792
552	4681	3783
553	4689	3775
554	4697	3766
555	4704	3757
556	4713	3748
557	4721	3739
558	4728	3730
559	4736	3721
560	4746	3714
561	4754	3705
562	4762	3696
563	4770	3687
564	4778	3679
565	4787	3670
566	4796	3662
567	4805	3654
568	4814	3647
569	4823	3638
570	4831	3629
571	4838	3620
572	4846	3611
573	4853	3601
574	4860	3592
575	4868	3583
576	4876	3575
577	4885	3566
578	4893	3558
579	4900	3548
580	4909	3540
