iter	MAE
120	0.2473552739
121	0.2471975586
122	0.2470472727
123	0.2468902243
124	0.2467413013
125	0.2466035336
126	0.2464249643
127	0.2462796009
128	0.2461490209
129	0.2460075296
130	0.2458559548
131	0.2457085611
132	0.2455453807
133	0.2454292493
134	0.2453153904
135	0.245190179
136	0.2450607897
137	0.2449072669
138	0.2447978538
139	0.2446794358
140	0.2445812166
141	0.2444227811
142	0.2443119287
143	0.2442008168
144	0.2441005953
145	0.2439810892
146	0.2438970159
147	0.2437722331
148	0.2436772539
149	0.2435970989
150	0.2433612924
151	0.2432264845
152	0.2431564645
153	0.2430377893
154	0.2429231936
155	0.2428396144
156	0.2427244954
157	0.2426098547
158	0.2425151127
159	0.2423978824
160	0.2422946533
161	0.2421830144
162	0.2421145081
163	0.2420277149
164	0.2418394268
165	0.2417415234
166	0.2416671608
167	0.2416058573
168	0.2414523977
169	0.241382849
170	0.2412748182
171	0.2411909835
172	0.2411218796
173	0.2410100067
174	0.2409382738
175	0.2408747467
176	0.2407810428
177	0.2407154264
178	0.2406084525
179	0.2405415255
180	0.2404933638
181	0.2404259986
182	0.2403314594
183	0.2402655867
184	0.2402075713
185	0.2401397749
186	0.2400773957
187	0.2400185447
188	0.2399681741
189	0.2398559259
190	0.2397899972
191	0.239656067
192	0.239575476
193	0.2394326876
194	0.2393619172
195	0.2393238072
196	0.2392751219
197	0.2391873561
198	0.2391351836
199	0.2390711009
200	0.2390446944
201	0.2389700162
202	0.2388829522
203	0.2388256819
204	0.238756267
205	0.2386375549
206	0.2385678154
207	0.238439804
208	0.2383884891
209	0.2383158859
210	0.2381712676
211	0.2381042628
212	0.2380331543
213	0.2379855678
214	0.2379180425
215	0.237850778
216	0.2377954163
217	0.2377244528
218	0.2376527679
219	0.2375975023
220	0.2375094852
221	0.2374557323
222	0.2374036984
223	0.2373610264
224	0.237304895
225	0.237239386
226	0.2371427157
227	0.2370500366
228	0.2369764594
229	0.2369311
230	0.2368650982
231	0.2368175523
232	0.2367195756
233	0.236686718
234	0.2366282258
235	0.2365731811
236	0.2365189619
237	0.2364849964
238	0.2364529778
239	0.2363877191
240	0.2363007633
241	0.2362370387
242	0.2361822084
243	0.236132244
244	0.2360948603
245	0.2360369218
246	0.2359525833
247	0.2358465526
248	0.2358019037
249	0.2357601839
250	0.2356865447
251	0.2355944625
252	0.2355275823
253	0.2354876705
254	0.2354256828
255	0.2353381102
256	0.2352717271
257	0.2351763499
258	0.2350938305
259	0.2349675874
260	0.2348572641
261	0.2348245928
262	0.2347745821
263	0.2347259041
264	0.2346926659
265	0.2346246917
266	0.2345656368
267	0.2345062906
268	0.234467537
269	0.2343850837
270	0.2343035397
271	0.2342274603
272	0.2341734129
273	0.2341385731
274	0.2340862583
275	0.234014376
276	0.2338563953
277	0.2337804389
278	0.2337279455
279	0.233664773
280	0.2336132556
281	0.2335312778
282	0.2335021645
283	0.2334594282
284	0.2333844921
285	0.233341401
286	0.2332641607
287	0.2332514448
288	0.2331722922
289	0.2330713699
290	0.2330069095
291	0.2329744455
292	0.2329205715
293	0.2328659395
294	0.2327741182
295	0.2327360226
296	0.2326394511
297	0.2325236773
298	0.2324515465
299	0.2324155317
300	0.2323633179
301	0.2323125135
302	0.2322687066
303	0.2322170059
304	0.2321686409
305	0.2321129836
306	0.2320539653
307	0.2319916868
308	0.2319141162
309	0.2318578825
310	0.231800772
311	0.231719095
312	0.2316643094
313	0.2315735944
314	0.2315313554
315	0.2314928424
316	0.2314551239
317	0.2314175425
318	0.2313922311
319	0.2313382805
320	0.2312899158
321	0.2312772511
322	0.231216232
323	0.2311673253
324	0.2311227019
325	0.2310707047
326	0.2309570784
327	0.230910931
328	0.2308499121
329	0.230814633
330	0.230780568
331	0.230743669
332	0.2307078348
333	0.2306731576
334	0.2306399621
335	0.230559302
336	0.2305165379
337	0.2304794919
338	0.230423914
339	0.2303104459
340	0.2301980823
341	0.2300788518
342	0.2300023955
343	0.2299253065
344	0.2298672273
345	0.2298393308
346	0.2297888299
347	0.2297304987
348	0.229673945
349	0.2296150304
350	0.2295859689
351	0.2295277731
352	0.2295010782
353	0.2294359858
354	0.2293534363
355	0.2292357921
356	0.2291859749
357	0.2291443321
358	0.2290690383
359	0.2289608059
360	0.2289270238
361	0.2288673438
362	0.2288262094
363	0.228747866
364	0.2286844058
365	0.2286497309
366	0.2285614334
367	0.2285164598
368	0.2284730205
369	0.228400067
370	0.2283664302
371	0.228231718
372	0.2281800973
373	0.2281061721
374	0.228030402
375	0.2279819568
376	0.2278951527
377	0.2278421156
378	0.2278151195
379	0.227785605
380	0.2277405884
381	0.2276958689
382	0.2276570236
383	0.2276133587
384	0.2275742718
385	0.2275179603
386	0.2274285438
387	0.2273513379
388	0.2272936404
389	0.2272335346
390	0.2272021979
391	0.2271678175
392	0.227106642
393	0.2270678974
394	0.2270279622
395	0.2269899308
396	0.226937844
397	0.2268879865
398	0.2268448338
399	0.226810952
400	0.2267682561
401	0.2267291701
402	0.2266887756
403	0.2265847191
404	0.2264958304
405	0.2264524137
406	0.2263916919
407	0.2262964975
408	0.2262566953
409	0.2262111962
410	0.2261556708
411	0.2260856705
412	0.2260035241
413	0.2259508702
414	0.2259021355
415	0.2258684906
416	0.2258264255
417	0.2257911535
418	0.2257526321
419	0.2257219312
420	0.225683465
421	0.2256517699
422	0.2256139584
423	0.2255823044
424	0.225560355
425	0.2255186023
426	0.2254721209
427	0.2254172872
428	0.2253703471
429	0.2253327119
430	0.2252467333
431	0.225201326
432	0.2251483059
433	0.2250996964
434	0.2250606465
435	0.2250080342
436	0.2249648504
437	0.22490805
438	0.2248500048
439	0.2248092706
440	0.2247016628
441	0.2246732061
442	0.224626241
443	0.224588078
444	0.2245453496
445	0.224501312
446	0.2244327175
447	0.2243995882
448	0.2243530808
449	0.2243241402
450	0.2242900015
451	0.2242703479
452	0.2242281249
453	0.2241817795
454	0.2241433414
455	0.2241047421
456	0.2240130298
457	0.2239697451
458	0.223938029
459	0.2239158402
460	0.2238790944
461	0.2238539332
462	0.2237985269
463	0.2237550811
464	0.2237143508
465	0.2236564769
466	0.2236160314
467	0.2235715888
468	0.223534341
469	0.2234944295
470	0.2234428847
471	0.2233658601
472	0.2233249003
473	0.2232852642
474	0.2232587527
475	0.2232080655
476	0.2231687677
477	0.2231159252
478	0.223082234
479	0.2230712878
480	0.2230360573
481	0.222996321
482	0.2229685937
483	0.2229217132
484	0.2228766254
485	0.222819329
486	0.222780344
487	0.2227530394
488	0.2227128357
489	0.2226990033
490	0.2226608574
491	0.2226427326
492	0.2226271995
493	0.2225632451
494	0.2225195039
495	0.222478007
496	0.2224437522
497	0.2224156003
498	0.2223629704
499	0.2223227154
500	0.2222899733
501	0.2222752154
502	0.2222495364
503	0.2222168439
504	0.2221738677
505	0.2221595472
506	0.2221177948
507	0.2220738951
508	0.2220277174
509	0.2219855324
510	0.2219268098
511	0.2218979673
512	0.2218812561
513	0.2218584553
514	0.2218233173
515	0.2217894072
516	0.2217464888
517	0.2217066879
518	0.2216679943
519	0.2216426003
520	0.2216106197
521	0.2215972849
522	0.2215821156
523	0.2215390402
524	0.2214866337
525	0.2214412992
526	0.2214000135
527	0.221373521
528	0.2213534028
529	0.2212852804
530	0.2212438819
531	0.2211938204
532	0.2211576319
533	0.221108415
534	0.2210839896
535	0.2210546745
536	0.2210093807
537	0.2209600378
538	0.2209303299
539	0.2209023955
540	0.2208521148
541	0.2208255785
542	0.2207979701
543	0.2207521287
544	0.220709283
545	0.2206733088
546	0.2206482712
547	0.2206213454
548	0.2206057874
549	0.2205664068
550	0.2205244314
551	0.220489823
552	0.2204397146
553	0.220405742
554	0.2203724522
555	0.2203365786
556	0.2203186476
557	0.2202971714
558	0.2202582434
559	0.2202240026
560	0.2201852337
561	0.2201582653
562	0.2201211025
563	0.2201090881
564	0.2200560046
565	0.2200336322
566	0.2200129931
567	0.219978499
568	0.2199206646
569	0.2198773686
570	0.2198623237
571	0.219831392
572	0.2198233219
573	0.2197820046
574	0.2197551597
575	0.2197199548
576	0.2197077663
577	0.2196715174
578	0.2196356823
579	0.2196115513
580	0.2195758253
581	0.2195385294
582	0.2195273301
583	0.2195108955
584	0.2194862537
585	0.2194539072
586	0.21944777
587	0.2194187683
588	0.2194095626
589	0.2193797285
590	0.2193668414
591	0.2193571947
592	0.2193308565
593	0.219305862
594	0.2192888272
595	0.219281216
596	0.2192641536
597	0.2192546495
598	0.2192263251
599	0.2192173913
600	0.2191889423
601	0.2191577188
602	0.2191264875
603	0.2190577453
604	0.2190301734
605	0.2190024479
606	0.2189738336
607	0.2189192088
608	0.218902954
609	0.2188755221
610	0.2188352528
611	0.2188175222
612	0.2188075397
613	0.2187981957
614	0.2187599535
615	0.218738297
616	0.2187016685
617	0.2186944335
618	0.2186636451
619	0.21862439
620	0.2185996511
621	0.2185694822
622	0.2185519974
623	0.2185179586
624	0.2185012376
625	0.2184671834
626	0.2184126328
627	0.218375418
628	0.2183401791
629	0.2183044758
630	0.218272748
631	0.2182146084
632	0.2181831294
633	0.2181381742
634	0.2181134562
635	0.2180858791
636	0.2180655832
637	0.2180362467
638	0.2180075127
639	0.2179647114
640	0.2179384805
641	0.2179093819
642	0.2178691534
643	0.2178531453
644	0.2178294218
645	0.2178069737
646	0.2177730864
647	0.217763362
648	0.2177169142
649	0.2177003842
650	0.2176679725
651	0.2176395495
652	0.2176187338
653	0.2175758693
654	0.2175595498
655	0.2175281078
656	0.2175001389
657	0.217462204
658	0.2174165528
659	0.2173585898
660	0.2173416568
661	0.2173141825
662	0.2172908861
663	0.2172439961
664	0.2172008096
665	0.2171789302
666	0.2171594187
667	0.2171217833
668	0.2170920235
669	0.2170710943
670	0.2170556261
671	0.2170264228
672	0.2169926542
673	0.2169722562
674	0.2169513705
675	0.2169319491
676	0.2169086387
677	0.2168404556
678	0.2168211448
679	0.2167929349
680	0.2167780239
681	0.2167276924
682	0.2167053074
683	0.2166860211
684	0.2166454335
685	0.2166186805
686	0.2165950122
687	0.2165772883
688	0.2165240858
689	0.2164876819
690	0.2164531725
691	0.2164342225
692	0.2164042622
693	0.2163987108
694	0.2163629832
695	0.2163396724
696	0.2162754282
697	0.2162625076
698	0.2162487371
699	0.2162011584
700	0.2161769515
701	0.2161150749
702	0.2160755265
703	0.2160487486
704	0.2160235569
705	0.2160078169
706	0.2159888666
707	0.2159731652
708	0.2159467969
709	0.2159303778
710	0.2158824847
711	0.2158302604
712	0.2158124957
713	0.2157694886
714	0.21573675
715	0.2157027473
716	0.2156824116
717	0.2156589297
718	0.2156324959
719	0.2155996354
720	0.2155617653
721	0.2155405749
722	0.2154808891
723	0.2154282866
724	0.215414898
725	0.2153938009
726	0.2153777057
727	0.2153592481
728	0.2153222969
729	0.2152644032
730	0.2152446516
731	0.2152301397
732	0.2152252884
733	0.2152001223
734	0.2151904592
735	0.2151660828
736	0.2151193514
737	0.2150908301
738	0.2150556724
739	0.2150186199
740	0.2149996625
741	0.2149634517
742	0.214914988
743	0.2148659925
744	0.2148499511
745	0.2148097894
746	0.2147678279
747	0.2147458416
748	0.214722031
749	0.2147066633
750	0.2146629174
751	0.2146365207
752	0.214597657
753	0.2145716188
754	0.2145492344
755	0.2145234591
756	0.214492419
757	0.2144815169
758	0.2144557721
759	0.2144227011
760	0.2144007624
761	0.2143797049
762	0.2143470605
763	0.2143239695
764	0.2142769872
765	0.2142528904
766	0.214222882
767	0.2142029432
768	0.2141611277
769	0.2141267764
770	0.2140718852
771	0.2140140556
772	0.2139972477
773	0.2139690909
774	0.2139567827
775	0.2139356329
776	0.2138925575
777	0.2138820563
778	0.2138514648
779	0.2138363752
780	0.213799531
781	0.213775868
782	0.2137529826
783	0.2137252161
784	0.2137009216
785	0.2136661414
786	0.2136367504
787	0.2136291444
788	0.2136049862
789	0.2135688593
790	0.2135360584
791	0.2135119352
792	0.2134819219
793	0.2134694629
794	0.2134512377
795	0.2134208118
796	0.2133982067
797	0.2133829705
798	0.2133595914
799	0.2133392191
800	0.2133089783
801	0.2132944105
802	0.2132819685
803	0.2132489463
804	0.2131869233
805	0.2131586824
806	0.2131348107
807	0.2131215909
808	0.2131056741
809	0.2130773128
810	0.2130728765
811	0.2130498003
812	0.2130362414
813	0.2130107794
814	0.2129872033
815	0.2129672255
816	0.2129568167
817	0.212916142
818	0.2128947041
819	0.2128733072
820	0.2128558849
821	0.2128105327
822	0.2127960823
823	0.2127854083
824	0.2127473299
825	0.2127071647
826	0.2126975059
827	0.2126932927
828	0.2126811176
829	0.2126493798
830	0.2126401888
831	0.2126124841
832	0.2125839904
833	0.2125674679
834	0.2125308923
835	0.2125007643
836	0.2124732874
837	0.2124502004
838	0.2124115884
839	0.2123879157
840	0.2123751971
841	0.2123541663
842	0.2123058514
843	0.2122724382
844	0.2122373405
845	0.2122185868
846	0.212189051
847	0.2121522675
848	0.2121261074
849	0.2120822484
850	0.212059676
851	0.2120251552
852	0.2119891834
853	0.2119820303
854	0.2119759793
855	0.2119700203
856	0.2119664441
857	0.2119340061
858	0.2119237278
859	0.2119194053
860	0.211894715
861	0.2118911905
862	0.2118657886
863	0.2118473015
864	0.2118333256
865	0.2118077055
866	0.2117948882
867	0.2117799646
868	0.2117767948
869	0.2117450753
870	0.2117273606
871	0.2117154565
872	0.2116833673
873	0.2116732844
874	0.2116434554
875	0.2116319547
876	0.2116016566
877	0.211594893
878	0.2115640922
879	0.2115464514
880	0.2115215604
881	0.2114812423
882	0.2114636125
883	0.2114379931
884	0.2113892947
885	0.2113762212
886	0.2113269533
887	0.2113135631
888	0.2112905529
889	0.211252078
890	0.2112135506
891	0.211189271
892	0.2111627433
893	0.211121169
894	0.2111072992
895	0.2110718121
896	0.2110463909
897	0.2110341717
898	0.21101796238899	0.21100755989900	0.2109807633
901	0.2109447767
902	0.2109257032
903	0.2109101795
904	0.2108855175
905	0.2108728528
906	0.2108505083
907	0.2108392933
908	0.2108171365
909	0.2107871587
910	0.2107686972
911	0.2107606677
912	0.2107379454
913	0.2107247284
914	0.2107069737
915	0.2106879139
916	0.2106789443
917	0.2106612922
918	0.2106531724
919	0.2106310015
920	0.21060141921921	0.2105958922	922	0.2105848923	923	0.21057924	0924	0.210552925	0925	0.210517926	0926	0.210511927	0927	0.2104928	0.2928	0.2104929	0.2929	0.2104930	0.2930	0.2104931	0.2931	0.21932	0.211932	0.210370231
933	0.210934	0.21934	0.2103448663
935	0.210315752
936	0.2103139473
937	0.210304026
938	0.2102827329
939	0.2102622961
940	0.2102302355
941	0.2101983601
942	0.2101809891
943	0.210152526
944	0.2101945	0.2945	0.2101223124
946	0.2101128766
947	0.2100873684
948	0.2100949	0.2949	0.2100950	0.2950	0.2100951	0.951	0.20999952	0.952	0.20996953	0.953	0.20993954	0.954	0.20989955	0.955	0.20987956	0.956	0.20984957	0.957	0.20981958	0.958	0.2098959	0.2959	0.2097960	0.2960	0.2097961	0.2961	0.2097962	0.2962	0.2097963	0.2963	0.2096964	0.2964	0.2096965	0.2965	0.2096966	0.966	0.20963967	0.967	0.20963968	0.968	0.20961969	0.969	0.20959970	0.970	0.20956971	0.971	0.20955972	0.972	0.20954973	0.973	0.20952974	0.974	0.20949975	0.975	0.20947976	0.976	0.20946977	0.977	0.2094978	0.2978	0.2094979	0.2979	0.2093980	0.980	0.20938981	0.981	0.20934982	0982	0.20931983	0.983	0.20927984	0.984	0.20923985	0.985	0.20922986	0.986	0.20919987	0.987	0.20916988	0.988	0.20916989	0.989	0.20913990	0.990	0.20911991	0.991	0.20909992	0.992	0.20908993	0.993	0.20906994	0.994	0.20903995	0.995	0.2090996	0.2996	0.2090997	0.2997	0.2089998	0.2998	0.2089999	0.2999	0.2089406214
8
